YEAR,COUNTRY,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL UP TO END OF DECEMBER
2021,CHINA,27,117,223,475,237,176,167,178,176,182,201,258,2417
2022,CHINA,226,266,358,261,242,231,266,534,637,468,591,635,4715
2023,CHINA,835,1535,3096,5118,4173,5105,10062,9262,8445,6211,6673,8274,68789
2024,CHINA,11511,14836,12865,8518,7511,8575,13040,11333,88189,PENDING,PENDING,PENDING,
2018,COLOMBIA,52,59,72,88,33,32,53,52,43,52,53,113,702
2019,COLOMBIA,88,68,67,72,33,44,34,36,57,46,58,110,713
2020,COLOMBIA,88,72,41,0,0,0,0,0,0,0,0,0,201
2021,COLOMBIA,0,2,3,4,3,1,0,1,2,4,19,37,76
2023,COLOMBIA,36,38,46,56,33,42,22,52,49,30,56,79,539
2024,COLOMBIA,54,70,69,88,40,44,51,51,467,PENDING,PENDING,PENDING,
2018,COMOROS,8,5,14,10,9,9,47,36,16,15,20,2,191
2019,COMOROS,20,5,22,11,0,7,22,13,10,5,7,6,128
2020,COMOROS,6,9,2,0,0,0,0,0,0,0,0,0,17
2021,COMOROS,0,0,0,0,0,0,0,0,0,1,0,0,1
2023,COMOROS,3,3,3,3,5,12,16,6,7,1,5,2,66
2024,COMOROS,6,6,3,2,10,8,17,14,66,PENDING,PENDING,PENDING,
2018,CONGO,1,2,5,4,3,4,1,3,3,3,2,4,35
2019,CONGO,6,7,3,2,1,1,1,0,1,2,6,3,33
2020,CONGO,3,35,0,0,0,0,0,0,0,0,0,0,38
2021,CONGO,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,CONGO,3,1,3,1,0,0,2,0,1,1,2,0,14
2023,CONGO,0,3,1,2,2,3,2,2,2,3,0,1,21
2024,CONGO,2,5,0,0,2,3,2,3,17,PENDING,PENDING,PENDING,
2018,COSTA RICA,9,20,14,13,3,3,0,15,26,6,3,20,132
2019,COSTA RICA,21,21,13,13,2,1,5,9,8,9,6,35,143
2020,COSTA RICA,9,24,0,0,0,0,0,0,0,0,0,0,33
2021,COSTA RICA,0,0,0,0,0,0,0,0,0,1,1,7,9
2022,COSTA RICA,4,11,7,5,1,1,0,2,0,0,3,6,40
2023,COSTA RICA,6,4,8,0,3,7,3,2,5,8,6,10,62
2024,COSTA RICA,20,14,11,11,7,3,3,2,71,PENDING,PENDING,PENDING,
2019,COTE DIVOIRE,0,3,1,7,2,1,3,2,4,0,3,8,34
2020,COTE DIVOIRE,1,1,0,0,0,0,0,0,0,0,0,0,2
2021,COTE DIVOIRE,0,1,0,1,0,0,0,0,0,0,0,0,2
2022,COTE DIVOIRE,0,0,0,0,0,0,1,0,0,0,0,0,1
2023,COTE DIVOIRE,2,2,0,0,0,1,0,1,0,3,1,0,10
2024,COTE DIVOIRE,0,1,2,0,0,0,0,1,4,PENDING,PENDING,PENDING,
2018,COTE D'IVOIRE,1,3,1,1,2,2,3,2,1,1,2,1,20
2018,CROATIA,481,276,209,163,92,70,129,125,83,112,147,294,2181
2019,CROATIA,452,289,218,186,30,38,64,94,66,73,147,265,1922
2020,CROATIA,331,250,81,0,0,0,0,0,0,0,0,0,662
2021,CROATIA,0,0,1,1,1,0,1,0,2,10,33,53,102
2022,CROATIA,60,67,73,23,8,8,13,8,8,8,21,41,338
2023,CROATIA,84,84,91,57,24,23,59,73,48,104,111,172,930
2024,CROATIA,281,249,200,70,35,23,78,133,1069,PENDING,PENDING,PENDING,
2018,CUBA,3,2,5,6,3,3,2,1,4,3,12,8,52
2019,CUBA,2,2,7,1,0,2,5,1,2,4,3,12,41
2020,CUBA,0,1,1,0,0,0,0,0,0,0,0,0,2
2021,CUBA,0,0,0,2,,0,0,0,0,0,0,4,6
2022,CUBA,1,1,4,7,1,1,2,0,0,0,0,2,19
2023,CUBA,5,1,12,2,6,2,2,2,1,4,7,6,50
2024,CUBA,6,1,10,1,1,10,4,6,39,PENDING,PENDING,PENDING,
2018,CYPRUS,55,53,51,45,43,44,91,98,37,32,51,72,672
2019,CYPRUS,68,66,73,68,17,26,56,114,32,27,44,118,709
2020,CYPRUS,99,53,31,0,0,0,0,0,0,0,0,0,183
2021,CYPRUS,0,0,1,1,3,1,0,9,4,3,12,27,61
2022,CYPRUS,39,25,48,54,11,17,19,73,19,19,28,38,390
2023,CYPRUS,51,41,67,81,28,49,112,282,15,59,71,95,951
2024,CYPRUS,91,62,67,112,31,57,191,307,918,PENDING,PENDING,PENDING,
2018,CZECH REPUBLIC,2257,3082,2674,1304,322,571,1050,637,889,688,1898,2228,17600
2019,CZECH REPUBLIC,2787,4449,3041,1370,167,380,997,585,663,700,1631,2434,19204
2020,CZECH REPUBLIC,2673,3646,1280,0,0,0,0,0,0,0,0,0,7599
2021,CZECH REPUBLIC,0,17,52,52,5,4,17,30,39,132,429,1087,1864
2022,CZECH REPUBLIC,1174,2055,1802,686,83,151,217,95,53,150,355,529,7350
2023,CZECH REPUBLIC,960,1206,1287,820,259,277,789,525,413,681,2373,2466,12056
2024,CZECH REPUBLIC,3484,3852,2988,1279,314,526,1133,822,14398,PENDING,PENDING,PENDING,
2018,DENMARK,3013,3228,2227,943,456,959,2951,925,576,994,943,2008,19223
2019,DENMARK,3059,3980,1845,1887,119,481,1741,497,416,636,763,1445,16869
2020,DENMARK,2176,2223,506,0,0,0,0,0,0,0,0,0,4905
2021,DENMARK,0,11,21,10,5,1,34,27,62,159,316,656,1302
2022,DENMARK,1013,1217,1187,1307,295,275,457,235,164,265,312,551,7278
2023,DENMARK,1081,1110,895,727,348,680,1721,552,472,556,764,1440,10346
2024,DENMARK,2542,2160,1497,822,410,714,2147,606,10898,PENDING,PENDING,PENDING,
2018,DJIBOUTI,1,1,4,1,0,0,0,0,0,1,0,1,9
2019,DJIBOUTI,1,0,0,0,0,0,1,4,0,1,1,1,9
2020,DJIBOUTI,1,2,,0,0,0,0,0,0,0,0,0,3
2021,DJIBOUTI,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,DJIBOUTI,0,1,1,1,3,0,0,0,0,0,1,0,7
2023,DJIBOUTI,0,3,0,1,0,1,2,0,1,1,1,1,11
2024,DJIBOUTI,1,4,5,0,0,1,0,2,13,PENDING,PENDING,PENDING,
2018,DOMINICA,4,9,3,3,1,3,4,3,1,1,7,10,49
2019,DOMINICA,6,5,7,6,0,7,3,5,4,5,5,9,62
2020,DOMINICA,6,3,1,0,0,0,0,0,0,0,0,0,10
2021,DOMINICA,0,0,0,1,0,0,1,0,0,0,4,2,8
2022,DOMINICA,3,4,6,4,0,0,2,3,0,2,7,6,37
2023,DOMINICA,8,3,14,4,4,7,6,4,8,4,3,20,85
2024,DOMINICA,7,9,14,8,11,9,17,6,81,PENDING,PENDING,PENDING,
2020,DOMINICAN,3,0,,,,,,,,,,,
2018,DOMINICAN REPUBLIC,4,1,3,2,6,8,6,3,0,4,5,3,45
2019,DOMINICAN REPUBLIC,5,3,9,3,0,2,3,7,7,4,44,24,111
2021,DOMINICAN REPUBLIC,0,0,0,0,0,0,0,0,1,0,1,0,2
2022,DOMINICAN REPUBLIC,2,0,0,3,0,0,0,0,0,1,1,1,8
2023,DOMINICAN REPUBLIC,2,0,2,2,1,3,1,1,5,6,4,2,29
2024,DOMINICAN REPUBLIC,8,1,3,1,4,3,1,2,23,PENDING,PENDING,PENDING,
2018,ECUADOR,7,15,10,43,0,5,2,12,8,13,5,16,136
2019,ECUADOR,14,11,12,10,2,3,3,11,8,3,10,31,118
2020,ECUADOR,19,7,4,0,0,0,0,0,0,0,0,0,30
2021,ECUADOR,0,0,0,0,0,0,0,0,0,1,1,2,4
